VALOR_A_PAGAR,TAXA,PRAZO_PAGAMENTO,RENDA_MES_ANTERIOR,NO_FUNCIONARIOS,FLAG_PF,PORTE,SEGMENTO_INDUSTRIAL_Comércio,SEGMENTO_INDUSTRIAL_Indústria,SEGMENTO_INDUSTRIAL_Serviços
11204.75,4.99,21,467430.0,154.0,0,2.0,0.0,0.0,1.0
60718.5,5.99,46,417192.0,104.0,0,1.0,0.0,0.0,1.0
60718.5,5.99,45,417192.0,104.0,0,1.0,0.0,0.0,1.0
62250.0,5.99,45,417192.0,104.0,0,1.0,0.0,0.0,1.0
26593.95,6.99,25,873938.0,119.0,0,3.0,1.0,0.0,0.0
26012.44,6.99,25,873938.0,119.0,0,3.0,1.0,0.0,0.0
26082.54,6.99,27,873938.0,119.0,0,3.0,1.0,0.0,0.0
26738.12,6.99,27,873938.0,119.0,0,3.0,1.0,0.0,0.0
20260.27,8.99,19,471300.0,143.0,0,1.0,1.0,0.0,0.0
19043.82,8.99,18,471300.0,143.0,0,1.0,1.0,0.0,0.0
64534.64,8.99,28,6965.0,128.0,0,3.0,0.0,1.0,0.0
21429.1,5.99,18,44288.0,117.0,0,3.0,1.0,0.0,0.0
21818.55,5.99,16,44288.0,117.0,0,3.0,1.0,0.0,0.0
28984.0,5.99,17,44288.0,117.0,0,3.0,1.0,0.0,0.0
42099.5,5.99,19,44288.0,117.0,0,3.0,1.0,0.0,0.0
56968.0,5.99,19,44288.0,117.0,0,3.0,1.0,0.0,0.0
21818.6,5.99,17,44288.0,117.0,0,3.0,1.0,0.0,0.0
21818.55,5.99,16,44288.0,117.0,0,3.0,1.0,0.0,0.0
41857.0,6.99,20,61931.0,99.0,0,1.0,0.0,0.0,1.0
42473.43,6.99,23,61931.0,99.0,0,1.0,0.0,0.0,1.0
54899.0,4.99,38,249091.0,122.0,0,2.0,1.0,0.0,0.0
250146.0,4.99,38,249091.0,122.0,0,2.0,1.0,0.0,0.0
91720.2,4.99,36,249091.0,122.0,0,2.0,1.0,0.0,0.0
54467.8,4.99,36,249091.0,122.0,0,2.0,1.0,0.0,0.0
54198.3,4.99,36,249091.0,122.0,0,2.0,1.0,0.0,0.0
63345.0,4.99,36,249091.0,122.0,0,2.0,1.0,0.0,0.0
63075.5,4.99,36,249091.0,122.0,0,2.0,1.0,0.0,0.0
54899.0,4.99,36,249091.0,122.0,0,2.0,1.0,0.0,0.0
92636.5,4.99,38,249091.0,122.0,0,2.0,1.0,0.0,0.0
54737.3,4.99,36,249091.0,122.0,0,2.0,1.0,0.0,0.0
91720.2,4.99,36,249091.0,122.0,0,2.0,1.0,0.0,0.0
126690.0,4.99,36,249091.0,122.0,0,2.0,1.0,0.0,0.0
250146.0,4.99,36,249091.0,122.0,0,2.0,1.0,0.0,0.0
63345.0,4.99,36,249091.0,122.0,0,2.0,1.0,0.0,0.0
62536.5,4.99,36,249091.0,122.0,0,2.0,1.0,0.0,0.0
250146.0,4.99,38,249091.0,122.0,0,2.0,1.0,0.0,0.0
8661.16,6.99,45,487147.0,133.0,0,1.0,0.0,0.0,1.0
5783.05,6.99,45,487147.0,133.0,0,1.0,0.0,0.0,1.0
40745.48,6.99,46,487147.0,133.0,0,1.0,0.0,0.0,1.0
51991.36,5.99,20,1680.0,132.0,0,2.0,1.0,0.0,0.0
7370.72,5.99,22,1680.0,132.0,0,2.0,1.0,0.0,0.0
69583.24,5.99,20,1680.0,132.0,0,2.0,1.0,0.0,0.0
54209.72,5.99,20,1680.0,132.0,0,2.0,1.0,0.0,0.0
56720.29,5.99,20,1680.0,132.0,0,2.0,1.0,0.0,0.0
20564.84,5.99,21,1680.0,132.0,0,2.0,1.0,0.0,0.0
37126.09,5.99,20,1680.0,132.0,0,2.0,1.0,0.0,0.0
61751.28,5.99,20,1680.0,132.0,0,2.0,1.0,0.0,0.0
24700.51,5.99,20,1680.0,132.0,0,2.0,1.0,0.0,0.0
33247.91,5.99,22,1680.0,132.0,0,2.0,1.0,0.0,0.0
49401.03,5.99,22,1680.0,132.0,0,2.0,1.0,0.0,0.0
7105.32,5.99,23,1680.0,132.0,0,2.0,1.0,0.0,0.0
44620.64,5.99,21,1680.0,132.0,0,2.0,1.0,0.0,0.0
24675.41,5.99,20,1680.0,132.0,0,2.0,1.0,0.0,0.0
24675.41,5.99,20,1680.0,132.0,0,2.0,1.0,0.0,0.0
25746.95,8.99,18,360328.0,119.0,0,2.0,0.0,0.0,1.0
25746.95,8.99,17,360328.0,119.0,0,2.0,0.0,0.0,1.0
21414.66,8.99,17,360328.0,119.0,0,2.0,0.0,0.0,1.0
