ID_CLIENTE,SAFRA_REF,VALOR_A_PAGAR,TAXA,RENDA_MES_ANTERIOR,NO_FUNCIONARIOS,FLAG_PF,PORTE,SEGMENTO_INDUSTRIAL_Comércio,SEGMENTO_INDUSTRIAL_Indústria,SEGMENTO_INDUSTRIAL_Serviços,RENDA_FUNCIONARIO,RENDA_MEDIA,RENDA_STD,PRAZO_PAGAMENTO,VALOR_INICIAL,DIAS_ULTIMA_EMISSAO,Quantidade_Emprestimo,PERCENTUAL_A_PAGAR
6987942592445950913,2021-07,91012.7,6.99,305035.0,141.0,0,2.0,0.0,0.0,1.0,2163.368794326241,272717.2,165661.53810064236,18,11390.826032540675,4.0,139,0.33372555893064315
5761480994209806499,2021-07,28067.6,5.99,385397.0,142.0,0,0.0,1.0,0.0,0.0,2714.06338028169,293850.5714285714,204946.21281624772,18,4015.393419170243,1.0,1056,0.095516574507743
8163895533020293251,2021-07,7155.82,6.99,513088.0,111.0,0,2.0,0.0,0.0,1.0,4622.414414414415,208321.42857142858,118619.10068379783,25,895.5969962453066,1.0,54,0.034349898851362935
113538242419211987,2021-07,35455.07,5.99,244944.0,100.0,0,2.0,1.0,0.0,0.0,2449.44,226334.0,0.0,18,5072.256080114449,158.0,5,0.15664933240255552
1616952665234409442,2021-07,47173.99,5.99,98492.0,118.0,0,3.0,1.0,0.0,0.0,834.6779661016949,292821.09375,272886.05783879355,22,6748.782546494992,15.0,101,0.1611017478142317
682352428813668634,2021-07,20897.44,4.99,135288.0,120.0,0,2.0,0.0,1.0,0.0,1127.4,338789.5714285714,277824.56358002004,18,3488.7212020033385,3.0,221,0.06168265425609744
8909740532547211288,2021-07,25746.95,8.99,360328.0,119.0,0,2.0,0.0,0.0,1.0,3027.9663865546217,288296.5,222384.55659826985,18,2577.2722722722724,6.0,215,0.08930718895303967
6916556752218696485,2021-07,40847.51,8.99,309500.0,154.0,0,3.0,0.0,0.0,1.0,2009.7402597402597,254038.85714285713,185376.5698855651,18,4088.83983983984,1.0,639,0.16079237034604382
8463871205935856285,2021-07,79024.97,4.99,662505.0,138.0,0,3.0,0.0,0.0,1.0,4800.760869565217,285619.875,171605.8135865345,22,13192.816360601002,9.0,13,0.2766788200576028
3258345688897172820,2021-07,19086.45,6.99,188210.0,138.0,0,1.0,1.0,0.0,0.0,1363.840579710145,323407.51612903224,228544.07999579588,18,2388.7922403003754,34.0,116,0.059016717448165126
5794903898038236832,2021-07,90136.0,5.99,473085.0,144.0,0,0.0,0.0,0.0,1.0,3285.3125,279303.9428571428,200854.52773835257,149,12894.992846924177,7.0,122,0.3227165326702974
8409181491723988567,2021-07,204291.99,6.99,482663.0,149.0,0,2.0,0.0,1.0,0.0,3239.3489932885905,242009.58823529413,187063.2285081328,18,25568.459324155192,15.0,112,0.8441483310214009
4679462479444735708,2021-07,38329.7,6.99,81196.0,140.0,0,3.0,0.0,1.0,0.0,579.9714285714285,404176.71428571426,273843.4301146821,18,4797.20901126408,2.0,264,0.09483401355206368
4679462479444735708,2021-07,25882.15,6.99,81196.0,140.0,0,3.0,0.0,1.0,0.0,579.9714285714285,404176.71428571426,273843.4301146821,18,3239.317897371715,0.0,265,0.06403671731989934
5854364934896993687,2021-07,12250.18,4.99,276475.0,172.0,0,1.0,0.0,0.0,1.0,1607.4127906976744,359442.4705882353,226437.4198510532,25,2045.1051752921535,2.0,109,0.03408105886862039
7628167057144760589,2021-07,92455.13,11.99,85761.0,138.0,0,1.0,1.0,0.0,0.0,621.4565217391304,240502.0,0.0,18,7117.408006158584,2.0,2,0.3844256180821781
170089315547146305,2021-07,26739.6,5.99,22813.0,106.0,0,3.0,0.0,0.0,1.0,215.21698113207546,325551.71428571426,204652.99189238402,18,3825.407725321888,3.0,166,0.08213625923816362
6916556752218696485,2021-07,115516.4,8.99,309500.0,154.0,0,3.0,0.0,0.0,1.0,2009.7402597402597,254038.85714285713,185376.5698855651,18,11563.203203203202,0.0,640,0.45471941300318514
3285246914299291124,2021-07,24841.47,5.99,46369.0,119.0,0,2.0,0.0,0.0,1.0,389.65546218487395,289174.2571428571,263712.61346512876,20,3553.8583690987125,15.0,404,0.0859048459065562
1182975716201409626,2021-07,19988.0,6.99,174962.0,108.0,0,3.0,0.0,0.0,1.0,1620.0185185185185,276180.82352941175,181357.56849475994,18,2501.62703379224,4.0,116,0.07237287420815945
2012477868296377155,2021-07,236762.0,6.99,195429.0,127.0,0,2.0,0.0,1.0,0.0,1538.8110236220473,283691.5,196852.22153813762,36,29632.290362953692,8.0,152,0.8345755865085841
5757271354816214865,2021-07,51991.36,5.99,1680.0,132.0,0,2.0,1.0,0.0,0.0,12.727272727272727,177178.72727272726,99398.04315185576,20,7437.962804005722,2.0,110,0.2934401934153803
4095739077267179172,2021-07,54858.55,5.99,339702.0,130.0,0,1.0,1.0,0.0,0.0,2613.0923076923077,299731.43333333335,205892.38383523922,18,7848.1473533619455,11.0,69,0.18302568199108912
5757271354816214865,2021-07,7370.72,5.99,1680.0,132.0,0,2.0,1.0,0.0,0.0,12.727272727272727,177178.72727272726,99398.04315185576,22,1054.4663805436337,0.0,111,0.04160047943370998
5757271354816214865,2021-07,69583.24,5.99,1680.0,132.0,0,2.0,1.0,0.0,0.0,12.727272727272727,177178.72727272726,99398.04315185576,20,9954.683834048641,0.0,112,0.3927290881421226
6916556752218696485,2021-07,20423.75,8.99,309500.0,154.0,0,3.0,0.0,0.0,1.0,2009.7402597402597,254038.85714285713,185376.5698855651,18,2044.4194194194195,0.0,641,0.0803961654909935
5757271354816214865,2021-07,54209.72,5.99,1680.0,132.0,0,2.0,1.0,0.0,0.0,12.727272727272727,177178.72727272726,99398.04315185576,20,7755.324749642346,0.0,113,0.30596065811307127
2012477868296377155,2021-07,236762.0,6.99,195429.0,127.0,0,2.0,0.0,1.0,0.0,1538.8110236220473,283691.5,196852.22153813762,39,29632.290362953692,0.0,153,0.8345755865085841
4334472256949955221,2021-07,51524.65,5.99,124525.0,121.0,0,3.0,0.0,0.0,1.0,1029.1322314049587,333449.25,210912.49972976488,18,7371.194563662375,2.0,163,0.15452021559502682
3285246914299291124,2021-07,84515.07,5.99,46369.0,119.0,0,2.0,0.0,0.0,1.0,389.65546218487395,289174.2571428571,263712.61346512876,25,12090.85407725322,0.0,405,0.29226346368116746
717981637594591016,2021-07,62964.9,5.99,480840.0,132.0,0,2.0,0.0,0.0,1.0,3642.7272727272725,287375.96774193546,241919.80257259964,18,9007.85407725322,3.0,99,0.2191028724313603
2214132103234633622,2021-07,171512.0,5.99,390809.0,71.0,0,2.0,0.0,1.0,0.0,5504.352112676056,262776.22857142857,189497.85091875994,27,24536.766809728182,7.0,203,0.6526922200399079
2763141362035716801,2021-07,90604.89,4.99,394911.0,98.0,0,1.0,1.0,0.0,0.0,4029.704081632653,343959.8387096774,177463.0476473148,18,15126.025041736226,10.0,82,0.2634170615380359
5757271354816214865,2021-07,56720.29,5.99,1680.0,132.0,0,2.0,1.0,0.0,0.0,12.727272727272727,177178.72727272726,99398.04315185576,20,8114.49070100143,0.0,114,0.32013036143267765
4095739077267179172,2021-07,108674.2,5.99,339702.0,130.0,0,1.0,1.0,0.0,0.0,2613.0923076923077,299731.43333333335,205892.38383523922,18,15547.095851216021,0.0,70,0.36257191576948383
170089315547146305,2021-07,22113.0,5.99,22813.0,106.0,0,3.0,0.0,0.0,1.0,215.21698113207546,325551.71428571426,204652.99189238402,18,3163.519313304721,0.0,167,0.06792469223673922
